dialog_id,summary_piece,position_index
13830091,Georgia is tired most of the time because of her pregnancy.,0
13830091,Leighton is chatting with people from work and looking at vegan accounts on Instagram.,1
13818848,Annette and Tim are staying at Andrea's flat.,0
13818848,"Andrea's flatmates are away till 25 of May, so Annette and Tim will stay there a few days longer.",1
13818848,They will meet with Andrea at 6 p.m. at Santa Croce Square and then go to Santa Croce together.,2
13862319,Gabe has bought tickets for an Eminem concert.,0
13862319,Gabe will later tell Larry how much does he owe him.,1
13814922,"Liz's partner, Chris, tried to kiss Jane.",0
13814922,They were drunk.,1
13814922,She stopped him.,2
13814922,Olivia believes Jane shoudl tell Liz about it.,3
13729017,Georgia and Juliette are looking for a hotel in Lisbon.,0
13729017,Juliette dislikes Georgia's choices.,1
13729017,"Juliette and Georgia decide on the second option presented by Georgia, but it has already been booked.",2
13729017,Finally Georgia books the third hotel.,3
13682164,LG is going to see Vic and say hi to Jean.,0
13810175,Lea is back from her trip and she liked Grand Canyon the most and brought Zack the newest Vogue from New York.,0
13810175,"She travelled together with Ana and Patrick, and Ana wanted to kill him a couple of times.",1
13810175,Lea found Vegas disappointing and tacky.,2
13682544,Mona has been watching Luther TV-series and recommends it to Gary.,0
13682544,"They discuss other TV-series which Mona likes, but Gary doesn't.",1
13611591,Linda's parents are leaving to San Francisco.,0
13611591,George will visit her at 8 and bring some wine.,1
13611591,They'll eat pizza and have sex.,2
13728347,Marion enjoyed her holidays in Greece.,0
13728347,Marion wants to go back there next year and Robert will go with her.,1
13818909,Evie has a new colleague who started work today.,0
13818909,"Evie, Daisy and Sophia think he's very handsome.",1
13612253,Angella has a birthday.,0
13612253,Angella and Taby used to write letters to each other and now they message twice a year.,1
13612253,Taby is planning vacation in her hometown this summer.,2
13612253,Taby will stay at her granny's but may stay over at Angella's for one day.,3
13717113,Mia has had her scan and she doesn't need a surgery.,0
13717113,Mia has also problems with her liver due to the pills she has been using.,1
13717113,Mia will speak to Jane later.,2
13611992,"Nancy doesn't want to bring Carlos for her uncle's birthday, because uncle Tom wouldn't appreciate Nancy and Carlos being together.",0
13611992,Carlos is mad and he realizes Nancy doesn't treat their relationship as seriously as he does.,1
13611992,"Even though Nancy believes it's all about fun, she claims to love Carlos.",2
13815462,Dylan went to a barbershop for the first time.,0
13815462,"The barber tidied Dylan's facial hair, brows and nose hair.",1
13815462,Natalie hates Ian's unibrow.,2
13815462,Dylan won't talk to him about it.,3
13862589-1,"Holly will print all 3 files, she received from Jasper, as soon as he sends over a signed paper.",0
13729552,"Fiona bought a washing machine from John last week but it's not working properly, so she wants John to come and fix it.",0
13729552,"John can't fix it onsite, Fiona needs to deliver the machine.",1
13729552,"John gives her a contact to Dave, who can transport it.",2
13729552,Fiona will let John know the transport arrangements.,3
13862948,Catherine wants to change her lifestyle.,0
13862254,Tommy is worried that Los Angeles Lakers won't make it to the play-offs.,0
13862254,"He thinks that one player won't win the whole tournament for the team, and that they really struggle with injuries this season.",1
13862254,Ethan thinks they should still have faith and cheer on their favourite team.,2
13728352,"Geoff couldn't visit a friend on Saturday, and he cannot visit him this weekend.",0
13728352,Today he had a lazy day with food and footbal.,1
13728352,He is not enthusiastic about incoming Xmas.,2
13821777,Lyman promotes the charity action concerning donation of used clothes.,0
13715915,Lindsey and Fiona went on a trip without Liz and they miss her.,0
13715915,Liz swears she'll join them the next time.,1
13715915,Fiona had black ice-cream on the trip.,2
13827992,Eli asked her landlord to repair a leaking pipe.,0
13827992,He refused to do that.,1
13827992,Eli's moving out to a new flat.,2
13827992,Scarlett will help her with unpacking.,3
13862953,The bus driver injured many people by pushing other cars.,0
13863050,Paul jokingly invites Gail to a date tonight.,0
13680872,Josh and Janice are going to the cinema on Saturday to see a horror movie.,0
13864662,Chloe's working from home and she's sending her friends reality show videos.,0
13864662,"They are not ambitious, but they work very well as a background noise.",1
13865071,"Mimi will take Steve, Leslie will take Mike and they will go together to see Vice.",0
13865071,They will go to the cinema in the centre for the 8.30 show.,1
13865071,Leslie will put the kids to bed and ask her mom to come.,2
13865071,Mimi will call a baby sitter.,3
13827905,Sallie will go for a date with Emil to Ed Sheeran concert.,0
13820407,Anne wants to take her cousine from Italy to somewhere nice in London.,0
13820407,"Angelo's, Toff's, Yori, Soho or street food on Brick Lane or Borough's Market are being suggested.",1
13820407,Sarah will join them if they are going to Hummingbird.,2
13830072,Caroline is meeting Monica tonight at 8 pm in Caroline's place.,0
13830072,"Nicole will join them, she will bring some wine and cheese.",1
13830072,Caroline is almost done with her course and Nicole is starting her renovation.,2
13828310,Vicky and Mike visited Ted and Dinna.,0
13828310,There was a delay during the stopover in London.,1
13828310,"Now it's snowing in Ted and Vicky's place, and in Boca there was a thunderstorm last night.",2
13820195,"Tom, Yann, Thomas, Maddie and Jamie dislike their neighbors.",0
13820195,The neighbors excluded Benjamin from the group chat.,1
13728291,"Jody hates ironing, especially her husband's shirts.",0
13728291,"She irons them because last time he did it, he burnt her favourite shirt and two of his own.",1
13728291,Lynn suggests buying an ironing machine.,2
13728291,Jody will visit her tomorrow around 2:00 to see how it works.,3
13728033,Patricia and Edgar have a conversation about animal abuse.,0
13728033,They both deplore it.,1
13864984,Kate had the meeting with the bachelors today.,0
13864984,She was talking about managing unpredictability in the field.,1
13864984,The students liked the topic and they wanted to know more about field research.,2
13863102,Betty is having problems with Microsip.,0
13863102,Helen suggests a reinstall.,1
13729090,Esme got her nails done.,0
13729090,She paid 42 and gave a tip.,1
13729090,They last 3 weeks.,2
13729090,She chose white color with glitter.,3
13865091,Patrick loves the game.,0
13865091,Mike read the summary.,1
13865091,He wants to borrow the game from Patrick and so does Joey.,2
13731151,Brian needs Melissa's toy.,0
13731151,Mellisa looks upset in the picture Brian sends.,1
13731151,Rasha will deliver the toy by car within 15 minutes provided traffic isn't bad.,2
13681438,Sid upset Renata in that meeting.,0
13681438,Sid does not care if Renata is offended or if she decides to leave the team.,1
13681438,Renata can be unreliable but she has a positive attitude and some good ideas.,2
13681438,Halina is more reliable than Renata but has a more negative attitude.,3
13730387,"Anna learns that Theo, Luis' friend from Wawa, reached out to him recently.",0
13730387,Anna met Theo at the New Year's Eve party.,1
13730387,Luis likes his new school better than the old one in Wawa.,2
13730387,He will soon start a job as a waiter.,3
13716914,"Ruth, Myron, Tina, Paula, Gerard and Hugh are planning to go on a holiday trip together this summer.",0
13716914,They have agreed on renting a car and going to Masuria.,1
13716914,"Karen can't go, because she going to Spain to her mom, but she knows Masuria and has offered help.",2
13680634,Ethan and Abigail are going to buy presents for their family.,0
13680634,Uncle Steve is going to spend Christmas with them.,1
13717043,Harrison lives in Berlin now and he's been busy at work lately.,0
13717043,Robert setlled in Sevilla and Madeline in Edinburgh.,1
13717043,Madeline lost her job and she is a housewife now.,2
13717043,"She will talk to her husband, Tom, about going to Sevilla with kids to meet Robert and Harrison.",3
13829539,Debra and her mother are still unemployed.,0
13829539,Debra's mother is depressed after her father's death.,1
13829539,Debra is grateful to Bruce for his concern.,2
13829264,Emily plans a boat trip in Croatia or Greece.,0
13829264,It will cost around 1000 euros for 7 nights per person.,1
13829264,6 people declared that they will go.,2
13728258,Uncle Jason and his children will visit Mom this weekend for Thanksgiving celebration.,0
13728258,Mom wants Jake to buy a turkey from the farm near High River.,1
13728258,Jake will text Lisa to invite her to the meeting.,2
13611894,Both Mary and Paul were in Cracow last week but didn't meet.,0
13611894,"Paul stayed at the Swing hostel, far from the centre, but he travelled cheap by Uber.",1
13611894,Mary stayed at a hostel near the centre.,2
13611894,Paul is ok with his girlfriend.,3
13611894,"Mary wants to get married, but it's too early to decide.",4
13810107,"Joe is getting ready to go out, Simon has enough of waiting and goes by himself.",0
13810107,"He sends Masher to pick Joe up at 7.30, but Masher forgets to go.",1
13729470,"Tom and Brigdet discuss an event involving an isolated island tribe and a man, who tried to contact them, wanting to convert them to Christianity.",0
13729470,Bridget thinks outside contact could be dangerous for the people of Andaman Islands.,1
13729470,She believes they should have the right to be left alone.,2
13594136-1,"Mats is giving welcome to a new neighbor, Bobby.",0
13594136-1,They agree the neighborhood is lovely.,1
13727766-1,Joan has all the Christmas presents ready.,0
13727766-1,Margaret is seeking advice on what to buy for the family members.,1
13727766-1,Sammy left Hayley with Jojo and got back to his wife.,2
13727766-1,Joan helps her with the baby.,3
13727766-1,Margaret goes with Keith to the outlet place on Friday.,4
13727766-1,Joan is decorating Christmas cake.,5
13612250,Last Sat the lesson was cancelled.,0
13612250,"Tina was in the country, Meg was supposed to go to a wedding that was cancelled only 1.5 weeks in advance.",1
13612250,The girl learned some facts about the groom and decided not to marry.,2
13612250,"Meg was available, but didn't want to make mess with the lesson.",3
13612250,Tina wants to pay Meg.,4
13680439,"Mollie suspects that Ethan is cheating on her, because yesterday he had all the lights in his apartment off.",0
13680439,Ethan tries to convince Mollie that he was just listening to music in the dark.,1
13680439,Ethan and Mollie are meeting in 40-50 minutes in order to discuss it.,2
13865281,Miley and Jack are in Tbilisi.,0
13865281,Ion recommended that they go to the Museum of Georgia.,1
13829763,"Oliver is leaving tomorrow morning, unfortunately Erik is not able to meet him at the station to say goodbye.",0
13829763,They plan to meet up in holidays.,1
13728460,Dora found a picture of her and Bert right before they graduated from uni.,0
13728460,Brent and Dora wants a get together soon.,1
13818339,Darline has a flight to Sao Paulo on Thursday and she's on standby today.,0
13818339,Julia's also on standby.,1
13818339,"Darline has a new boyfriend, José.",2
13818339,Julia knows that José has at least 6 girlfriends.,3
13821873,Josh offered Peter a big rise and a transfer to another office in Angola.,0
13821873,Peter is seriously considering the offer.,1
13680997,Nick doesn't have any Halloween plans.,0
13680997,He explains to Chris that we go to cementary and spend time with our families for November 1st.,1
13680997,Chris changed his name for Arthur for the party yesterday.,2
13862450,Jessica and Josh have a new dog.,0
13862450,Jessica is worried that she won't be able to sleep.,1
13862450,Kate is going to visit Jessica to see the dog.,2
13611624,Many people in Brazil voted for a neofascist.,0
13611624,"The second candidate, Haddad, is a member of PT, a party which is involved in corruption.",1
13611624,Lula was the other member of this party but he's been falsely imprisoned and now people hate him.,2
13717208,"James needs a date for a wedding this weekend, he asked Nicky or Carrie to join him.",0
13717208,Nicky is going to go to the wedding with him.,1
13682410,Victoria and Jack are throwing a birthday party for mum.,0
13682410,They invited the guest and are planning the food.,1
13682351-1,Peter is going to Australia for half a year.,0
13682351-1,James has a cat named Foxi that is a bit aggresive.,1
13828498,Karen is having a goodbye party on Saturday before she leaves for Canada on Monday and wants Betty to come.,0
13828498,Karen's sister lives there and Karen found a job offer for a Danish-speaking recruiter.,1
13828498,She will stay with her sister at the beginning.,2
13828498,Betty and Karen will meet for coffee on Wednesday.,3
13820818,"Andrea, Kasia and Nicki want to join a student organization called AIESEC.",0
13820818,The organization holds conferences and helps students find volunteering or training opportunities.,1
13820818,"Andrea, Kasia and Nicki will go to an AIESEC meeting on Thursday together.",2
13820818,Chris doesn't want to join.,3
13821875,Jim and Nick saw the exhibition about Yugoslav architecture in MoMA.,0
13821875,Jim finds the exhibition extremely well prepared and presented.,1
13821875,Jim thinks architecture in Skopje could be a good topic for another exhibition.,2
13810151,Monica had sex with Ross at an office party two months ago.,0
13810151,"She's pregnant, but didn't tell Ross about it, who's married.",1
13829331,Jay will go to a party with Martha tonight.,0
13829331,He will be over in 10 minutes.,1
13864874,"John, Nadia, Victoria and Peter had a reunion 2 years ago.",0
13864874,Nadia can only take a weekend off work.,1
13864874,They will go to Milan.,2
13809993,"Nestor is thinking of taking History of imperialism in Latin America, Racism in Brasil, Critical Theory etc.",0
13809993,at university.,1
13809993,His grades aren't very good.,2
13809993,Aida thinks Ludmila's songs are really bad.,3
13809993,Nestor recommends listening to Pabllo Vittar.,4
13728829,Daca was supposed to have an operation but he was returned.,0
13728829,"Doctors recommend Daca and Jaca go to the Institut for ""Mother and children"".",1
13728829,Ostoja is waiting for them in front of main entrance.,2
13716278,They want to go to Paris for New Year's Eve.,0
13716278,Ella has not been to Paris and she looks forward to seeing the Louvre with Carter.,1
13716278,Scarlett hopes Jeff will accept the plan.,2
13864555,They are discussing climate change.,0
13864555,Sylvia has kids.,1
13864555,Jane does not have kids.,2
13864555,Sylvia is a designated driver for Aunt Maggie.,3
13864555,Greg and Sylvia will meet for a drink.,4
13611651,Aubray wants to watch Bollywood movie with Kate tomorrow.,0
13611651,Kate doesn't like this type of movie.,1
13611651,"In the end, she agrees to join Aubray.",2
13716210,"Danny, Kirsty and Juan have organized an event.",0
13716210,It went well.,1
13716210,There's going to be another event in March.,2
13716210,It's been organized by Margaret.,3
13727680,Suzanne and Rosanne noticed they use the same actors for different roles on Friends and Gilmore Girls.,0
13865378,Brie saw Becky's photo on Instagram.,0
13865378,Becky lost 30 pounds in three months thanks to an online diet and exercise.,1
13829754,Lena is not pleased with the amount of homework she has been given.,0
13862563,Last night Heidi was hired as interpreter.,0
13862563,"She had to drive a young worker to a hospital, because his hand was jammed into a machine.",1
13862563,In the effect the worker lost 3 fingers on his left hand.,2
13730136,Ariel forgot her gloves.,0
13730136,Rick will drop them off.,1
13730136,"Ariel wanted them to have lunch together, but Rick is fasting.",2
13680467,Luisa has had no luck selling her house yet.,0
13680467,It took Leu 2 year to sell his apartment.,1
13680467,Bill has a drinking problem.,2
13680467,Luisa has stopped trying to help Bill.,3
13828474,"Molly disliked the MRI she just had, even though she got a sedative because of her claustrophobia.",0
13828474,Her blood pressure dropped after the PVC was inserted.,1
13828474,The scan took 40 min and the results will be available in 2 weeks.,2
13730789,Amelia admires Chloe's style and asks her what she should do about her style to resemble Chloe's.,0
13730789,Chloe recommends starting a Pinterest account.,1
13681834,Paul and Gina are going to Corsica by ferry.,0
13681834,They are excited about the wineries there.,1
13728962,David and Gina will take ECON 232.,0
13728962,"There will be 2 midterms, but the professor is not that harsh.",1
13862815,Kelly got mad at Chad because he didn't pick up the phone when she called him 12 times and then forgot to call her back.,0
13728834,Teresa has an important presentation tomorrow and a blind date afterwards.,0
13728834,Maggie advises Teresa what to wear based on the 3 pictures of outfits Teresa has sent her.,1
13728834,Maggie also advises Teresa to apply eyeliner and put on contacts after the presentation.,2
13819187,"The promotion for Victor, Tony and Alice's event lasted for 2 weeks.",0
13819187,"21 out of 27 registered people attended, few of them left for the drinks.",1
13819187,Victor suggests they need to widen the reach of the promotion and work on communication between the team members.,2
13819187,Tony and Alice agree.,3
13828676,Abdul and Erma are having a fight.,0
13828676,"According to Abdul, Erma's parents hate him, and she behaved unfair, telling her parents about her relationship problems with Abdul, when he was sitting right next to her during family dinner today.",1
13729516,"Shirley bets 50 that Theresa May will resign within a week, whereas Ralph bets 50 that she will stay and come up with a new deal related to Brexit.",0
13729516,May didn't agree with Brexit.,1
13828139,Luke is grounded and he does not want to fight with his parents anymore.,0
13828139,Bruno is making fun of Luke.,1
13828139,Luke decides to go out with his friends.,2
13716204,"Christopher, Joan, Lindsay, Brian and Kenneth have to prepare a project.",0
13716204,Brian is willing to present in front of the class and make a PowerPoint presentation.,1
13716204,Joan proposes a way to divide the work that everybody agree on.,2
13716204,Joan proposes a meeting in person.,3
13863092,James is applying for a sales position and is looking for tips how to do well at an interview.,0
13612236,Mark saw Bunny with a man at the Odeon last night.,0
13612236,She denies and says she was with her friend Julia.,1
13612236,"The girls' meeting was spontaneous, so Bunny didn't have time to tell Mark about it.",2
13612236,"Mark wants to break up with Bunny, but she insists on a meeting and talking about it.",3
13730003,Ben has just arrived and now is in the office.,0
13730003,He should be back home at 6 or 7.,1
13730003,Nora is going to order Indian food for supper from a new restaurant.,2
13810137,Dorothy wants to date Tom from Sam's English literature.,0
13810137,Sam sent her Tom's photo.,1
13810137,He's single.,2
13829077,Jasper and Ivan are going to play an online game together.,0
13716442,Martin is crashing on Allie and Myra's couch next weekend.,0
13716442,He is bringing wine and chocolate.,1
13682567,Their tweets are badly written.,0
13682567,Janette dislikes having to read their tweets as part of her job.,1
13682567,Janette would not like to change her job.,2
13864430,Coeliac disease makes it impossible to digest gluten.,0
13864430,Charles feels bloated and gained weight recently.,1
13864430,Monica stopped eating lactose.,2
13864430,Charles had a blood test.,3
13716088,Linda has already been in Sicily twice.,0
13716088,She and John are planning to go to Puglia for 2-3 weeks this summer.,1
13810077,Kelly has maths and English homework for tomorrow.,0
13810077,She's writing a 150-word-long essay on her hobby - singing.,1
13810077,Louis will write about video games.,2
13828114,Susie will make muffins with the pumpkin puree from Elizabeth's recipe.The recipe is for around 12 muffins.,0
13828114,Susie will bake them for her boyfriend.,1
13820694,"Ellie, Jay, Katie and Monica need to buy a wreath for the funeral.",0
13820694,"Katie, Ellie and Jay would like to buy a wreath found by Jay.",1
13820694,"However, Monica doesn't like the violet flowers in it.",2
13820694,Jay will call the florist in the morning and ask if they can replace the violet flowers.,3
13611645,Jeff and Fred are discussing who they are going to vote for as they have to choose between an experienced but smarmy candidate and a more sensible but inexperienced one.,0
13611645,The decision seems to be tough.,1
13611645,They also agree to go for a drink after work to a new place by the mall.,2
13814180,Rick quit his job.,0
13814180,He felt the job didn't offer him any developement perspectives.,1
13814180,He got a proposition from another company.,2
13814180,Chantelle considers changing job too.,3
